x ,Kalmar_COM_Crane21_SPARE_INT6 ,Kalmar_COM_Crane21_SPARE_INT5 ,Kalmar_COM_Crane21_SPARE_INT4 ,Kalmar_COM_Crane21_SPARE_INT3 ,Kalmar_COM_Crane21_SPARE_INT2 ,Kalmar_COM_Crane21_SPARE_INT1 ,
Type ,INT ,INT ,INT ,INT ,INT ,INT ,
ScalingFactor ,1 ,1 ,1 ,1 ,1 ,1 ,
OffSet ,0 ,0 ,0 ,0 ,0 ,0 ,
Comment ,NA ,NA ,NA ,NA ,NA ,NA ,
2023-06-30 16:54:00.529,0,0,0,0,0,95,
2023-06-30 16:54:01.191,0,0,0,0,0,16,
2023-06-30 16:54:01.744,0,0,0,0,0,-59,
2023-06-30 16:54:02.296,0,0,0,0,0,-100,
2023-06-30 16:54:02.959,0,0,0,0,0,-45,
2023-06-30 16:54:03.511,0,0,0,0,0,31,
2023-06-30 16:54:04.174,0,0,0,0,0,99,
2023-06-30 16:54:04.726,0,0,0,0,0,81,
2023-06-30 16:54:05.389,0,0,0,0,0,-16,
2023-06-30 16:54:05.941,0,0,0,0,0,-81,
2023-06-30 16:54:06.494,0,0,0,0,0,-95,
2023-06-30 16:54:07.156,0,0,0,0,0,-16,
2023-06-30 16:54:07.709,0,0,0,0,0,59,
2023-06-30 16:54:08.372,0,0,0,0,0,99,
2023-06-30 16:54:08.924,0,0,0,0,0,59,
2023-06-30 16:54:09.587,0,0,0,0,0,-45,
2023-06-30 16:54:10.139,0,0,0,0,0,-95,
2023-06-30 16:54:10.691,0,0,0,0,0,-81,
2023-06-30 16:54:11.354,0,0,0,0,0,16,
2023-06-30 16:54:11.907,0,0,0,0,0,81,
2023-06-30 16:54:12.569,0,0,0,0,0,89,
2023-06-30 16:54:13.122,0,0,0,0,0,31,
2023-06-30 16:54:13.784,0,0,0,0,0,-71,
2023-06-30 16:54:14.337,0,0,0,0,0,-100,
2023-06-30 16:54:14.999,0,0,0,0,0,-45,
2023-06-30 16:54:15.552,0,0,0,0,0,31,
2023-06-30 16:54:16.104,0,0,0,0,0,95,
2023-06-30 16:54:16.767,0,0,0,0,0,71,
2023-06-30 16:54:17.319,0,0,0,0,0,0,
2023-06-30 16:54:17.982,0,0,0,0,0,-89,
2023-06-30 16:54:18.534,0,0,0,0,0,-95,
2023-06-30 16:54:19.197,0,0,0,0,0,-16,
2023-06-30 16:54:19.749,0,0,0,0,0,59,
2023-06-30 16:54:20.301,0,0,0,0,0,100,
2023-06-30 16:54:20.964,0,0,0,0,0,45,
2023-06-30 16:54:21.517,0,0,0,0,0,-31,
2023-06-30 16:54:22.179,0,0,0,0,0,-99,
